iter	Passed	Remaining
0	58	58105
1	58	29202
2	58	19534
3	59	14710
4	59	11812
5	59	9894
6	60	8520
7	60	7482
8	60	6671
9	60	6029
10	61	5500
11	61	5059
12	61	4691
13	62	4371
14	62	4095
15	62	3850
16	62	3635
17	63	3444
18	63	3274
19	63	3120
20	63	2981
21	64	2859
22	64	2749
23	65	2650
24	65	2556
25	65	2466
26	66	2383
27	66	2304
28	66	2231
29	66	2166
30	67	2102
31	67	2042
32	67	1986
33	68	1934
34	68	1884
35	68	1837
36	68	1793
37	69	1750
38	69	1709
39	69	1674
40	70	1639
41	70	1605
42	70	1572
43	70	1540
44	71	1509
45	71	1481
46	71	1454
47	72	1428
48	72	1402
49	72	1377
50	72	1353
51	72	1330
52	73	1307
53	73	1286
54	73	1266
55	74	1247
56	74	1228
57	74	1210
58	74	1193
59	75	1176
60	75	1160
61	75	1143
62	75	1127
63	76	1115
64	76	1101
65	76	1087
66	77	1073
67	77	1059
68	77	1048
69	78	1037
70	78	1025
71	78	1013
72	78	1002
73	79	990
74	79	979
75	79	969
76	80	959
77	80	948
78	80	938
79	80	928
80	81	920
81	81	910
82	81	899
83	81	891
84	81	882
85	82	874
86	82	866
87	82	858
88	83	850
89	83	843
90	83	835
91	83	828
92	84	820
93	84	813
94	85	813
95	85	807
96	86	800
97	86	794
98	86	787
99	86	780
100	87	774
101	87	769
102	87	763
103	87	756
104	88	750
105	88	745
106	88	739
107	88	733
108	89	728
109	89	723
110	89	717
111	89	713
112	90	709
113	90	703
114	90	699
115	91	694
116	91	689
117	91	684
118	91	679
119	92	674
120	92	670
121	92	665
122	92	660
123	92	656
124	93	652
125	93	648
126	93	644
127	93	640
128	94	636
129	94	632
130	94	628
131	95	625
132	95	621
133	95	617
134	95	613
135	96	610
136	96	606
137	96	603
138	96	599
139	97	596
140	97	593
141	97	588
142	97	585
143	98	583
144	98	579
145	98	576
146	98	573
147	99	570
148	99	567
149	99	564
150	99	561
151	100	558
152	100	555
153	100	552
154	100	549
155	101	547
156	101	544
157	101	541
158	101	538
159	102	536
160	102	533
161	102	530
162	102	527
163	102	525
164	103	522
165	103	519
166	103	517
167	104	515
168	104	513
169	104	510
170	104	508
171	105	506
172	105	504
173	105	501
174	105	499
175	106	497
176	106	495
177	106	493
178	107	491
179	107	489
180	107	487
181	107	485
182	108	482
183	108	480
184	108	478
185	108	476
186	109	474
187	109	472
188	109	470
189	109	468
190	110	466
191	110	464
192	110	463
193	111	461
194	111	459
195	111	457
196	111	455
197	112	454
198	112	452
199	112	450
200	113	449
201	113	447
202	113	446
203	113	444
204	114	442
205	114	441
206	114	439
207	114	437
208	115	436
209	115	434
210	115	432
211	115	430
212	116	429
213	116	427
214	116	426
215	117	424
216	117	423
217	117	421
218	117	420
219	118	418
220	118	416
221	118	415
222	118	414
223	119	412
224	119	411
225	119	409
226	119	408
227	120	406
228	120	405
229	120	403
230	120	402
231	121	400
232	121	399
233	121	398
234	121	396
235	122	395
236	122	393
237	122	392
238	122	391
239	123	389
240	123	388
241	123	387
242	123	385
243	124	384
244	124	383
245	124	381
246	124	380
247	125	379
